Distributor,Country,World Region,Commercial Region
Aeskulap LTD,Albania,Eastern Europe,EESSATI
IMD,Algeria,Africa,MENA
WM Argentina S.A.,Argentina,South America,LATAM
DiaMed Caribbean,Aruba,The Caribbean,LATAM
DiaMed Caribbean,Bahamas,North America,LATAM
Isla Lab Products LLC,Bahamas,North America,LATAM
Gulf corporation for technology,Bahrain,Middle East,MENA
Diamed Bangladesh,Bangladesh,Asia,APAC
Genetic Trading,Bangladesh,Asia,APAC
DiaMed Caribbean,Barbados,Central America,LATAM
Belreamed,Belarus,European Union,EESSATI
Belreamed,Belarus,Eastern Europe,EESSATI
MEDIFF (supplier for Africa based in France),Benin,Africa,EESSATI
Broma Bel d.o.o.,Bosnia & Herzegovina,Eastern Europe,EESSATI
JASIKA D.O.O.,Bosnia & Herzegovina,Eastern Europe,EESSATI
Medivax Industria E Comercio,Brasil,Subsidiary pertaining,Subsidiary pertaining
KOSI (B) Sdn Bhd,Brunei,Asia,APAC
Biomedica CS s.r.o.,Bulgaria,European Union,EESSATI
DKSH Cambodia,Cambodia,Asia,APAC
MDS (Cambodia),Cambodia,Asia,APAC
DiaMed Caribbean,Caribbean - Central America - Florida,The Caribbean,LATAM
Isla Lab Products LLC,Caribbean - Central America - Florida,The Caribbean,LATAM
DiaMed Caribbean,Cayman Islands,The Caribbean,LATAM
Grupo Bios,Chile,South America,LATAM
Laboratorio Livio Barnafi,Chile,South America,LATAM
Evergreen Health Care Ltd.,China,Asia,_Not Applicable
Getz Healthcare (Hong Kong) Limited,China,Asia,APAC
Annar Diagnostica Import sas,Colombia,South America,LATAM
Export LATAM,Colombia,South America,LATAM
QUIMIOLAB,Colombia,South America,LATAM
Capris Médica,Costa Rica,Central America,LATAM
JASIKA D.O.O.,Croatia,European Union,EESSATI
DiaMed Caribbean,Curacao,The Caribbean,LATAM
Biotronics,Cyprus,Eastern Europe,EESSATI
Biotronics,Cyprus,European Union,EESSATI
Biomedica CS s.r.o.,Czech Republic,European Union,EESSATI
Triolab AS,Denmark,European Union,Subsidiary pertaining
Bio-Nuclear,Dominican Republic,The Caribbean,LATAM
Referencia Laboratorio Clini,Dominican Republic,The Caribbean,LATAM
Simed (Ecuador),Ecuador,South America,LATAM
Clinilab,Egypt,Africa,MENA
Clinilab,Egypt,Middle East,MENA
ARSAL,El Salvador,South America,LATAM
ARSAL,El Salvador,Central America,LATAM
Diamedica (Estonia),Estonia,Eastern Europe,EESSATI
Triolab AS,Finland,European Union,Subsidiary pertaining
MEDIFF (supplier for Africa based in France),Gabon,Africa,EESSATI
Biomedi,Georgia,Eastern Europe,EESSATI
Biokosmos Moriaki SA,Greece,European Union,EESSATI
DiaMed Caribbean,Grenada,The Caribbean,LATAM
DiaMed (Guatemala),Guatemala,South America,LATAM
DiaMed (Guatemala),Guatemala,Central America,LATAM
Diagnostika Capris,Guatemala,South America,LATAM
Caribbean Medical Supplies inc.,Guyana,The Caribbean,LATAM
Dimex Medica,Honduras,Central America,LATAM
Getz Healthcare (Hong Kong) Limited,Hong Kong,Asia,APAC
HealthCare Diagnostics Ltd,Hong Kong,Asia,Greater China
Biomedica CS s.r.o.,Hungary,Eastern Europe,EESSATI
Buda Labor / Laborexpert LTD,Hungary,European Union,EESSATI
Biomedikal scientific Indonesia,Indonesia,Asia,APAC
PT DjembatanDua,Indonesia,Asia,APAC
PT Medquest Jaya Global,Indonesia,Asia,APAC
PT Nelta Multi Gracia,Indonesia,Asia,APAC
PT Nusantara Bina Diagnostika,Indonesia,Asia,APAC
PT Tawada Healthcare,Indonesia,Asia,APAC
BarcoPharma,Iraq,Asia,MENA
BarcoPharma,Iraq,Middle East,MENA
Minaris Medical (ex Hitachi),Japan,Asia,APAC
SIEMENS JAPAN,Japan,Asia,APAC
Burgan Drugstores,Jordan,Middle East,MENA
IVD Holding,Kazakhstan,Asia,EESSATI
SURGIPATH,Kenya,Africa,EESSATI
KEIS,Kosovo,Eastern Europe,EESSATI
Yunicom D.O.O.,Kosovo,Eastern Europe,EESSATI
Bader Sultan & Brothers,Kuwait,Asia,MENA
Bader Sultan & Brothers,Kuwait,Middle East,MENA
Diamedica (Latvia),Latvia,Eastern Europe,EESSATI
Technoline,Lebanon,Middle East,MENA
MENA Diagnostics,Libya,Africa,MENA
Interlux co. ltd.,Lithuania,Eastern Europe,EESSATI
Interlux co. ltd.,Lithuania,European Union,EESSATI
DiagnostiCARE,Malaysia,Asia,APAC
Diagnostic Systems,Malaysia,Asia,APAC
Trust Diagnostics,Malaysia,Asia,APAC
Azur Medica,Mauritius,Africa,EESSATI
Azur Medica,Mauritius,Asia,EESSATI
Bayangol Med,Mongolia,Asia,APAC
